student_id,student_name,first_name,last_name,date_of_birth,grade_level,site,ethnicity,free_reduced_lunch,enrollment_date,email,guardian_phone
STU0072,chad clarke,Chad,,26 Sep 2008,7th,Englewood,Black or African American,,2023-08-14,dunnhoward@example.net,
STU0257,DAVID FOSTER,David,Foster,05 Jun 2012,7th,West Loop,Hispanic,1,09-08-2023,ygreen@example.com,+1-818-488-4604x445
STU0163,elizabeth bird,,Bird,06/09/2011,6,South Side,Asian,,2023-08-14,blopez@example.com,312-418-4679
STU0262,Roger Manning,Roger,Manning,02-06-2010,6,Englewood,Asian,0,09/14/2023,,
STU0185,gina hendrix,Gina,Hendrix,2010-05-05,Grade 6,Pilsen,Multiracial,Yes,20 Aug 2023,,
STU0160,Rodney M.,,Miller,"March 01, 2015",8th,South Side,,N,24 Aug 2023,gainesmatthew@example.org,
STU0133,"Kirk, Jason",Jason,Kirk,11/05/2012,6,Englewood,,N,"September 22, 2023",tcharles@example.net,(227)276-1294
STU0135,rebecca barnett,Rebecca,Barnett,01/25/2009,Grade 7,Hyde Park,Black or African American,No,09/23/2023,jenkinspenny@example.net,886-966-5455
STU0176,tara jones,Tara,Jones,2008-08-01,9th,West Loop,Multiracial,Yes,"September 16, 2023",sarahchase@example.org,(615)425-7375x000
STU0088,michael hansen,Michael,Hansen,2014-08-25,G6,,Multiracial,Y,23 Sep 2023,savannahriley@example.com,+1-366-220-3848x939
STU0182,Carrie W.,,Warren,"September 07, 2013",7,South Side,White,N,08/16/2023,ysmith@example.org,
STU0046,nan n.,,,11-01-2007,senior,Hyde Park,Hispanic,TRUE,08-17-2023,richardpearson@example.org,875-923-3836
STU0131,APRIL WRIGHT,,Wright,10 Jul 2012,Grade 8,Pilsen,Hispanic,,"September 13, 2023",jason42@example.com,001-259-472-3279x5930
STU0040,KATHERINE ROBERTS,Katherine,Roberts,2010-12-01,Grade 8,South Side,Hispanic,Yes,09/03/2023,,438-659-4760
STU0087,"Moss, Shelly",Shelly,Moss,2013-04-15,8,Hyde Park,Multiracial,yes,21 Aug 2023,mclaughlintracy@example.net,858.871.2744
STU0006,julie cherry,Julie,Cherry,20 Feb 2014,Grade 11,West Loop,Hispanic,No,26 Aug 2023,,+1-514-986-6739x27645
STU0038,KATHRYN SWANSON,Kathryn,Swanson,02-10-2015,8th,Pilsen,,No,08/07/2023,william51@example.net,826.431.1982x666
STU0209,"Smith, Ashley",Ashley,Smith,,Grade 9,Hyde Park,Black or African American,No,08/09/2023,wsullivan@example.com,001-800-987-7479x603
STU0261,thomas curtis,Thomas,Curtis,26 Mar 2010,Grade 12,Englewood,Asian,Y,"September 14, 2023",tannermartin@example.net,001-433-827-9422x1618
STU0201,Katherine W.,Katherine,Williams,04/13/2009,7,South Side,Black or African American,1,09-12-2023,jacquelinemoore@example.net,001-414-745-7249x547
STU0079,"Chan, Elizabeth",Elizabeth,Chan,02/23/2008,10,Englewood,,1,09/27/2023,fcampbell@example.com,745.218.5158
STU0113,J. Miranda,,Miranda,01-14-2008,10,Englewood,Black or African American,TRUE,08/11/2023,knightdavid@example.com,697-941-5109x25424
STU0270,christopher hernandez,Christopher,Hernandez,2013-05-05,senior,Englewood,Hispanic,No,16 Aug 2023,dave92@example.com,6968556359
STU0282,J. Booth,Joy,,07-10-2014,10th,Hyde Park,White,No,2023-08-24,lewisangela@example.com,(816)953-3756
STU0011,ERNEST COX,Ernest,Cox,"July 19, 2013",11th,Englewood,,yes,2023-09-15,linda29@example.com,3009142855
STU0260,kevin jenkins,Kevin,Jenkins,11 Apr 2008,12th,Pilsen,White,yes,"August 19, 2023",burgessmeagan@example.net,529-216-9840x4532
STU0121,FELICIA JOSEPH,Felicia,Joseph,01-31-2007,10th,,,Yes,"August 04, 2023",,323.787.6324x3500
STU0058,VICKI MONROE,Vicki,Monroe,2009-06-24,12,Englewood,Multiracial,,08-15-2023,pbowman@example.net,6038291751
STU0136,Donna Simmons,,Simmons,12-19-2010,6th,South Side,Asian,,"August 12, 2023",,+1-332-577-9597x29503
STU0295,T. Ramsey,Tammy,Ramsey,04/19/2014,10th,South Side,,Y,09-23-2023,,670-988-0046
STU0211,steve rogers,Steve,,03-13-2007,sophomore,Pilsen,,yes,08/04/2023,vincent41@example.org,
STU0031,M. Turner,Michele,,03 Jun 2010,Grade 10,Pilsen,Black or African American,0,09 Sep 2023,carlsmith@example.com,
STU0014,S. Thomas,Stephen,Thomas,10/10/2006,12,,,TRUE,"August 02, 2023",,
STU0066,Anthony Mitchell,Anthony,Mitchell,"May 09, 2010",11th,Englewood,Asian,TRUE,11 Aug 2023,rboyd@example.org,+1-677-965-1090x2012
STU0193,Stephen Watkins,Stephen,Watkins,,freshman,,White,TRUE,08/28/2023,,(753)541-7763x44531
STU0042,"Butler, Michael",Michael,Butler,,6,Englewood,Black or African American,1,09/03/2023,jbird@example.net,250.519.0086x4833
STU0244,J. Garrison,Joshua,Garrison,11 Sep 2009,Grade 7,Englewood,,,"August 20, 2023",qvillarreal@example.net,001-217-388-5030x1718
STU0204,Vickie R.,Vickie,Rodriguez,22 Sep 2010,Grade 6,South Side,,Yes,2023-08-01,,(258)239-4515x911
STU0057,Julie Thomas,Julie,Thomas,04 Jan 2013,7th,Hyde Park,White,1,27 Sep 2023,jamesnicole@example.com,495.939.6714
STU0197,"Vaughan, Jennifer",Jennifer,Vaughan,03/20/2014,Grade 10,South Side,Black or African American,Yes,09-23-2023,davidschultz@example.org,(201)475-9709x08225
STU0139,jennifer hernandez,Jennifer,Hernandez,"September 10, 2010",9,West Loop,Black or African American,0,09/19/2023,grahamkrista@example.com,248-882-6065x760
STU0236,R. Smith,,Smith,01/11/2011,11th,South Side,Hispanic,Yes,"September 25, 2023",,
STU0273,David H.,,Hill,06/06/2014,Grade 12,Englewood,Multiracial,0,09/24/2023,,001-479-578-3209x655
STU0025,SEAN BRADFORD,Sean,Bradford,06/01/2007,9th,Hyde Park,Black or African American,N,2023-08-01,,4732344853
STU0083,"Brown, Tyler",Tyler,Brown,,G7,Hyde Park,,No,09 Aug 2023,jmiddleton@example.net,
STU0159,DERRICK GONZALES,Derrick,Gonzales,03/09/2009,G7,,,No,12 Sep 2023,ccooper@example.net,
STU0157,Carrie Williams,Carrie,Williams,11/25/2009,7th,,,N,2023-09-01,lcastillo@example.com,940.786.3562x6418
STU0221,Audrey W.,Audrey,Williams,02/04/2013,eighth,South Side,Multiracial,yes,28 Sep 2023,grogers@example.net,001-706-904-8570
STU0028,J. Carlson,Joseph,Carlson,,8th,Pilsen,,Y,08/23/2023,,628.991.0746
STU0071,O. Smith,Olivia,Smith,,freshman,Hyde Park,,N,08/01/2023,thomastracy@example.net,(583)313-4188x923
STU0009,Michael Carter,,Carter,2008-08-01,Grade 10,West Loop,,yes,08-23-2023,christine74@example.com,593.929.8279
STU0207,Jessica C.,,Campbell,2009-01-19,G6,South Side,Asian,N,10 Aug 2023,fsmith@example.org,501.542.0226
STU0263,"Schultz, Joseph",Joseph,Schultz,2011-03-01,Grade 11,South Side,Asian,Yes,08-04-2023,edward50@example.org,
STU0061,Henry Snyder,Henry,Snyder,17 Aug 2011,Grade 8,Pilsen,,yes,28 Aug 2023,,5536585207
STU0098,Amber Little,Amber,Little,"December 09, 2011",8,,,Y,"September 27, 2023",,827.273.7095x8649
STU0123,"Taylor, Jessica",Jessica,Taylor,"March 03, 2013",Grade 10,Englewood,Hispanic,yes,23 Sep 2023,donovanrobert@example.net,001-234-732-1834x1567
STU0210,WILLIAM ODOM,,Odom,2006-09-19,8,Pilsen,,,08/22/2023,gevans@example.net,606-953-7482x75685
STU0059,COREY BLAIR,Corey,Blair,2014-08-26,10,Hyde Park,Multiracial,No,09-23-2023,george93@example.org,
STU0165,denise anderson,Denise,Anderson,2007-10-09,6,South Side,Multiracial,TRUE,08/12/2023,chase21@example.org,
STU0271,"Payne, Harold",Harold,,"March 20, 2015",8th,Pilsen,Hispanic,N,21 Aug 2023,jnelson@example.com,
STU0175,"Kim, Andrew",Andrew,Kim,23 Jun 2006,G6,West Loop,Black or African American,TRUE,"August 20, 2023",chelsea25@example.net,691.845.3569
STU0152,Shelby C.,Shelby,Christian,02/03/2012,10,Pilsen,Multiracial,0,"September 10, 2023",bmartin@example.com,728-450-1915x9263
STU0251,CATHERINE SCHULTZ,Catherine,Schultz,"May 05, 2009",8th,South Side,Multiracial,0,"September 08, 2023",matthewrussell@example.org,945-369-0393
STU0267,"Wilson, David",David,Wilson,23 Mar 2009,10th,South Side,Black or African American,1,09/14/2023,fbradshaw@example.net,
STU0030,V. Taylor,Virginia,Taylor,"November 01, 2006",freshman,Englewood,Asian,yes,"September 05, 2023",williamsralph@example.net,001-299-206-4167x2885
STU0110,KRISTEN MORAN,Kristen,Moran,"February 20, 2009",eighth,,,,08/21/2023,dhodges@example.com,(228)695-8104
STU0102,donna gross,Donna,,28 Jan 2007,Grade 9,Hyde Park,Hispanic,TRUE,2023-08-28,susan11@example.org,419-513-4835x24625
STU0219,JAMIE CRUZ,Jamie,Cruz,11/15/2012,10th,,,0,"September 14, 2023",melissaespinoza@example.org,4495125235
STU0293,Diana R.,Diana,Rasmussen,12/22/2012,7,Hyde Park,Asian,Y,2023-08-11,sandovalcynthia@example.com,323.915.6899x2068
STU0275,P. Edwards,Patrick,,"June 20, 2010",8th,South Side,White,N,"August 22, 2023",susanyoung@example.com,
STU0294,"Peterson, Maria",Maria,Peterson,2014-02-24,G6,Englewood,,1,08/04/2023,,+1-636-959-3745x827
STU0272,A. Ward,,Ward,2011-10-25,8,Englewood,Black or African American,No,"September 03, 2023",ewright@example.org,001-709-845-7313x021
STU0204,"Rodriguez, Vickie",Vickie,Rodriguez,22 Sep 2010,Grade 6,South Side,,Yes,2023-08-01,jennifer44@example.org,(258)239-4515x911
STU0222,KRISTINA TAYLOR,Kristina,Taylor,04/24/2010,G6,Pilsen,Hispanic,1,12 Aug 2023,,+1-811-780-1328
STU0112,Matthew A.,Matthew,Anderson,2012-01-21,6th,West Loop,Hispanic,yes,08-24-2023,carrillonatalie@example.net,
STU0285,J. Roberts,Jeffery,,10 Nov 2006,Grade 9,,Multiracial,yes,17 Sep 2023,ilee@example.org,
STU0232,Tammy B.,Tammy,Bailey,2011-10-29,Grade 12,,Multiracial,No,07 Sep 2023,nathanrivera@example.org,774.553.6293
STU0082,S. Anderson,Stephanie,Anderson,05 Feb 2007,9th,Englewood,Black or African American,TRUE,25 Sep 2023,melissaprice@example.com,913.974.9919
STU0227,RHONDA HUNTER,Rhonda,Hunter,,Grade 10,Hyde Park,Black or African American,0,08-13-2023,molly03@example.net,905-842-2728x939
STU0110,Kristen M.,Kristen,Moran,"February 20, 2009",eighth,,,,08/21/2023,,(228)695-8104
STU0267,DAVID WILSON,David,Wilson,23 Mar 2009,10th,South Side,Black or African American,1,09/14/2023,mccormickjoseph@example.com,
STU0228,teresa white,Teresa,White,,Grade 10,Pilsen,,Yes,08/22/2023,andre17@example.org,779.242.0845
STU0064,JAMES CROSS,James,Cross,2009-07-06,9th,,,TRUE,02 Aug 2023,janicehudson@example.net,259.491.0046
STU0156,Ashley Vazquez,Ashley,Vazquez,,Grade 6,West Loop,,,2023-09-09,sreed@example.com,466.349.9892x154
STU0073,S. Scott,Sherri,Scott,16 Dec 2013,eighth,West Loop,Multiracial,,08 Aug 2023,hramirez@example.org,(372)553-5287
STU0148,K. Wright,Kayla,Wright,01/22/2008,9,West Loop,Asian,Y,2023-09-20,kristensanchez@example.net,268-833-8625x0411
STU0167,kevin parker,Kevin,,,Grade 11,West Loop,Multiracial,,09-28-2023,heatherolsen@example.org,266.609.1096x6609
STU0119,"Bernard, Steven",Steven,,10-14-2012,Grade 11,South Side,,yes,25 Aug 2023,burtondavid@example.org,(358)623-6820x144
STU0021,"Terry, Shelly",Shelly,Terry,2008-02-23,12th,Englewood,Asian,N,08-13-2023,mitchellpatel@example.org,
STU0238,Taylor S.,Taylor,Smith,24 Dec 2008,10,West Loop,Asian,Yes,2023-09-08,mariahunt@example.org,+1-743-978-5886x172
STU0264,william jones,William,Jones,26 Jan 2015,9th,,,0,"September 28, 2023",vanessaphillips@example.org,001-660-390-7211x8979
STU0212,"Miller, Samuel",,Miller,16 Apr 2008,Grade 12,Hyde Park,White,Y,04 Sep 2023,andreharper@example.com,
STU0141,William R.,William,Ramirez,03/28/2014,9th,Englewood,Hispanic,TRUE,2023-09-18,christopher82@example.org,3679345540
STU0075,Chelsea H.,,Hughes,26 Jul 2011,12,Englewood,Multiracial,0,05 Sep 2023,,001-686-447-3906x95930
STU0229,"Maldonado, Trevor",Trevor,Maldonado,06 May 2007,6,,,,08-26-2023,mhorn@example.org,704.937.0564x04060
STU0218,"Sutton, Dawn",Dawn,,,9,Hyde Park,Asian,Y,2023-08-17,sarah57@example.org,001-991-579-5672x286
STU0189,Z. Parker,,Parker,"April 12, 2015",G7,Hyde Park,Asian,yes,"August 17, 2023",orozcocrystal@example.net,993-269-7005x949
STU0198,CHASE SCOTT,Chase,Scott,"June 25, 2009",Grade 8,South Side,,0,2023-09-10,catherinegriffin@example.com,001-250-282-9317x0643
STU0068,G. Franklin,Gregory,,"June 10, 2010",Grade 8,South Side,Multiracial,1,"September 28, 2023",patrickbaker@example.net,371.912.4424x573
STU0007,AMY ALLEN,Amy,Allen,2008-01-11,10th,Hyde Park,,1,09-01-2023,wardjacob@example.org,899-427-5985x935
STU0105,"Griffith, Mary",Mary,Griffith,11-16-2006,8,Hyde Park,Multiracial,Yes,"August 14, 2023",chaneynicholas@example.net,001-489-272-9884x84204
STU0115,james guzman,James,Guzman,01-03-2010,6,,,,08-15-2023,,913.891.7144x41923
STU0134,Donald S.,Donald,Smith,,Grade 7,Pilsen,Multiracial,yes,09-01-2023,kelly72@example.org,953.613.0440x8859
STU0184,"Ibarra, Nancy",Nancy,Ibarra,24 Apr 2013,freshman,Hyde Park,,,2023-08-10,christinesmith@example.com,+1-900-426-2039x24067
STU0237,T. Cantu,Todd,Cantu,08/19/2014,8th,Hyde Park,,No,08/22/2023,woodkevin@example.com,+1-754-307-1046x120
STU0206,JESSICA NICHOLSON,,Nicholson,05/06/2015,12th,Hyde Park,White,Yes,"September 25, 2023",jerryjohnson@example.org,200.720.6306x9612
STU0081,L. Good,Lisa,Good,2013-07-31,10,West Loop,,Y,08-14-2023,xjones@example.net,(640)964-7110
STU0234,"Mcdonald, James",James,Mcdonald,2007-07-17,8th,West Loop,Asian,1,"August 19, 2023",patrick96@example.org,(203)318-3752
STU0130,Jared Mcdonald,,Mcdonald,"August 28, 2014",9th,Englewood,,No,"August 07, 2023",caitlin00@example.org,+1-239-271-2130x2686
STU0298,KIM MARTIN,Kim,,09 Nov 2008,Grade 10,West Loop,Asian,1,"September 10, 2023",lindsaybaker@example.net,001-819-221-8551
STU0291,raymond edwards,Raymond,Edwards,2010-01-23,8,Pilsen,Multiracial,Yes,2023-09-27,goldendenise@example.org,901-832-6481x88063
STU0162,N. Bishop,,Bishop,2014-12-21,G6,Hyde Park,,yes,"September 03, 2023",johnsonjohn@example.com,
STU0178,Chelsea Pineda,Chelsea,Pineda,"April 25, 2008",junior,West Loop,Multiracial,0,08-23-2023,athompson@example.net,298-826-7367x04033
STU0044,richard harris,Richard,Harris,2014-10-20,9,Pilsen,,Yes,2023-09-19,freemanthomas@example.net,
STU0043,J. Kent,Jessica,Kent,,11th,West Loop,,Y,2023-09-15,christina89@example.com,(860)693-1822
STU0074,jocelyn hayes,Jocelyn,Hayes,,9,Hyde Park,White,Y,08/09/2023,,
STU0065,BREANNA ROSS,Breanna,Ross,2006-08-10,6th,West Loop,,0,"September 15, 2023",lewismichael@example.org,
STU0067,Jessica L.,Jessica,,,7th,Pilsen,,0,12 Sep 2023,lbartlett@example.org,+1-229-881-9416
STU0012,Mark Day,Mark,Day,2011-08-31,6th,Englewood,Black or African American,N,"August 15, 2023",,794-874-9917x160
STU0169,jasmin garcia,Jasmin,Garcia,2012-10-20,10th,Englewood,,N,14 Aug 2023,jacobweaver@example.org,001-698-601-8704x66822
STU0245,Erin V.,Erin,Vance,07-30-2008,senior,West Loop,Asian,yes,08/14/2023,irobbins@example.org,407.685.1095x89853
STU0217,Joseph J.,Joseph,Johnson,07-04-2008,Grade 12,South Side,,,2023-08-07,jennifer05@example.org,+1-952-274-4210x314
STU0200,AARON DEAN,Aaron,,"June 03, 2011",9,West Loop,,0,"August 27, 2023",,
STU0084,Tyler Hunter,Tyler,Hunter,05 Sep 2007,freshman,South Side,White,No,2023-08-11,vbrown@example.net,540-469-7291x2057
STU0183,"Harrison, Terrence",Terrence,Harrison,2008-02-03,8,Pilsen,White,No,2023-08-24,,001-249-758-6778x65797
STU0002,"Vargas, Sarah",Sarah,Vargas,2011-07-20,9th,Englewood,Black or African American,,09-04-2023,brandonbailey@example.com,(586)829-0214x7752
STU0080,Nancy B.,Nancy,,10 Jun 2008,11th,Pilsen,Black or African American,TRUE,2023-08-05,carlos81@example.net,(881)400-0881x49250
STU0024,DAVID WILLIAMS,David,Williams,10/29/2008,8,West Loop,White,Yes,"August 14, 2023",ruthharris@example.org,830.288.2053x65562
STU0187,J. Hunt,Justin,,10/31/2011,11th,South Side,Hispanic,yes,"September 03, 2023",millerkathryn@example.com,+1-473-760-6434
STU0227,Rhonda H.,Rhonda,Hunter,,Grade 10,Hyde Park,Black or African American,0,08-13-2023,trevor98@example.net,905-842-2728x939
STU0166,Thomas B.,Thomas,Buchanan,,Grade 10,,White,Y,18 Aug 2023,,(771)786-8181
STU0231,Zachary V.,Zachary,,23 Sep 2013,Grade 8,Englewood,,yes,09/21/2023,zhammond@example.net,+1-832-357-4898x97197
STU0194,joseph peters,Joseph,Peters,2013-03-12,9th,Englewood,Multiracial,Yes,08-03-2023,andrew66@example.com,(904)511-9164x678
STU0214,D. Chavez,Daniel,Chavez,2009-01-07,7th,Englewood,,TRUE,2023-09-09,lewiswilliam@example.com,428-202-3047x198
STU0138,tyrone pope,Tyrone,,09-19-2010,freshman,Hyde Park,,,"September 11, 2023",stevensdaniel@example.org,+1-411-278-0442
STU0195,J. Black,John,,09/16/2010,12th,South Side,,0,12 Sep 2023,fowlercharles@example.org,457-444-2723x686
STU0171,"Clark, Kevin",Kevin,Clark,17 Aug 2012,G7,Englewood,Hispanic,Y,2023-08-05,,001-474-791-1893
STU0177,J. Mooney,Jose,Mooney,2015-02-11,10th,,Asian,N,08/08/2023,kyle02@example.com,+1-941-275-8413
STU0010,AMBER HOLMES,Amber,Holmes,07/17/2010,8,Hyde Park,,Yes,08-28-2023,,+1-661-785-8167x2888
STU0203,"Brewer, Timothy",Timothy,Brewer,2013-09-02,Grade 9,Pilsen,Hispanic,N,08/19/2023,cameron48@example.net,(613)830-9700x49812
STU0239,"Smith, Michael",Michael,Smith,06 Oct 2011,Grade 11,South Side,,1,"September 19, 2023",cboyd@example.net,5572609080
STU0033,RONALD REYES,Ronald,Reyes,07/28/2013,7,South Side,Black or African American,No,19 Sep 2023,hmurray@example.org,642-344-0216x4891
STU0100,DEBORAH HARPER,,,28 Sep 2011,eighth,Hyde Park,,0,08-25-2023,agonzales@example.net,
STU0269,Nicholas Morgan,Nicholas,Morgan,06-21-2007,G7,Englewood,Hispanic,,"September 03, 2023",kimrandy@example.com,
STU0085,"Jackson, Michael",Michael,Jackson,13 Dec 2011,12th,Englewood,Hispanic,Yes,"August 18, 2023",stephenschristopher@example.com,
STU0292,"Ryan, Ryan",Ryan,Ryan,,7,Hyde Park,,N,"September 10, 2023",jerryvilla@example.net,754.725.7982x7387
STU0219,jamie cruz,Jamie,Cruz,11/15/2012,10th,,,0,"September 14, 2023",meadowsjustin@example.org,4495125235
STU0238,Taylor S.,Taylor,Smith,24 Dec 2008,10,West Loop,Asian,Yes,2023-09-08,millerkimberly@example.org,+1-743-978-5886x172
STU0255,"Nelson, Kevin",Kevin,Nelson,01/29/2010,junior,West Loop,Hispanic,TRUE,28 Aug 2023,james70@example.com,(313)644-6503
STU0029,CHRISTOPHER KRUEGER,Christopher,Krueger,01 Sep 2010,10,South Side,Multiracial,Yes,25 Sep 2023,brandi94@example.com,(553)701-7192x22703
STU0248,Gloria G.,Gloria,Grimes,2007-11-04,9,,Multiracial,0,06 Aug 2023,bstevenson@example.com,
STU0179,"Jones, Julie",Julie,Jones,17 Jul 2006,10th,,Black or African American,Yes,"August 11, 2023",,
STU0300,"Lucero, Amy",Amy,Lucero,2010-05-26,Grade 11,Hyde Park,,Y,09/02/2023,christinawells@example.org,659-895-4430
STU0154,JESSICA ONEILL,Jessica,Oneill,2012-04-05,9,Pilsen,Asian,Yes,24 Aug 2023,saraarmstrong@example.net,(747)314-7920x83985
STU0076,jonathan williams,Jonathan,Williams,2014-01-16,Grade 8,Pilsen,Hispanic,No,"September 15, 2023",anthonyparrish@example.org,(237)298-3704x96967
STU0093,K. Taylor,Kimberly,Taylor,01-19-2010,6,West Loop,Asian,1,08/01/2023,sandylewis@example.com,582.374.0831x272
STU0022,susan merritt,Susan,Merritt,"March 07, 2007",12th,Pilsen,,yes,"September 14, 2023",nicholassmall@example.org,
STU0069,Jennifer M.,Jennifer,,,10th,Pilsen,,Y,09/03/2023,kennedyjoyce@example.com,947.439.6051
STU0016,Christopher D.,Christopher,Davenport,,11,,Black or African American,Y,08-08-2023,spearsyvonne@example.org,+1-889-873-8522x80358
STU0199,Laura H.,Laura,Harrell,02-20-2008,Grade 8,South Side,Multiracial,0,21 Aug 2023,keithnguyen@example.net,840.670.1146
STU0205,molly wade,Molly,,"November 17, 2006",11th,South Side,White,0,11 Aug 2023,carl31@example.org,
STU0089,Tony D.,Tony,Davis,02-03-2013,Grade 6,Pilsen,Multiracial,TRUE,08-10-2023,ocox@example.org,
STU0048,GLORIA KELLY,Gloria,Kelly,02/12/2012,6,Pilsen,Asian,N,08/13/2023,reidmatthew@example.com,450-808-3195
STU0118,"Short, Robert",Robert,Short,"August 01, 2012",11th,West Loop,Asian,TRUE,2023-09-24,castillodebbie@example.org,(804)930-6468x8522
STU0126,Andre Robertson,Andre,Robertson,08/12/2007,junior,West Loop,White,0,17 Sep 2023,acostateresa@example.com,445-849-0501
STU0096,RHONDA HICKS,Rhonda,Hicks,"June 02, 2006",8th,Englewood,,yes,08-05-2023,boothelizabeth@example.org,843.547.0693
STU0034,S. Wells,Suzanne,Wells,2006-09-24,6,Hyde Park,Multiracial,0,"September 03, 2023",lynnhumphrey@example.org,
STU0001,Lynn Potts,,Potts,04/14/2007,11th,,,No,08/18/2023,gsuarez@example.net,5937168241
STU0122,Bradley Riggs,Bradley,,13 May 2011,11th,South Side,White,0,09-08-2023,vbryan@example.com,001-866-312-5853x41486
STU0208,T. Baker,Tyler,Baker,2014-07-24,eighth,South Side,Asian,N,12 Aug 2023,huntbrenda@example.com,
STU0129,Carrie Harmon,Carrie,,2008-03-15,10,,,TRUE,22 Sep 2023,,(445)424-7779x49562
STU0140,PATRICK HODGE,Patrick,Hodge,10/24/2011,12,,,N,2023-09-27,rickjones@example.com,001-325-670-2616x8298
STU0137,BLAKE MURPHY,,Murphy,2007-12-28,Grade 8,Hyde Park,,Y,09/16/2023,,001-326-203-1602
STU0274,"Bell, Stephen",Stephen,,28 Jan 2013,junior,West Loop,Multiracial,TRUE,"August 03, 2023",,+1-628-623-1776x044
STU0023,"Phillips, Johnny",Johnny,Phillips,2014-01-30,10,West Loop,Hispanic,0,08-24-2023,powellmichael@example.net,001-431-938-2759x3201
STU0062,T. Peters,Tammy,,10-18-2007,11th,Hyde Park,Multiracial,N,08/11/2023,charlesgardner@example.org,001-468-720-0037x92980
STU0117,"Miller, Craig",Craig,Miller,2009-06-10,senior,South Side,,N,08-06-2023,crystalmendoza@example.net,+1-599-221-3577x0639
STU0090,christina espinoza,Christina,Espinoza,28 Dec 2009,junior,Pilsen,Asian,0,2023-09-26,wpowers@example.net,
